m \ n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,1,0,2,0,4,0,8,0,16,0,32,0,64,0,128,0,256,0,512,0,1024,0,2048,0,4096,0,8192,0,12384,0,32768
4,0,1,2,6,14,37,92,236,596,1517,3846,9770,24794,62953,159800,405688,1029864,2614457,6637066,42773094,42773094,108584525,275654292,699780452,,,,,,,,
5,0,1,0,14,0,154,0,1696,0,18684,0,205832,0,2267544,0,24980352,0,,0,,0,,0,,0,,0,,0,,0,
6,0,1,4,37,154,1072,5320,32675,175294,1024028,5668692,32463802,181971848,,,,,,,,,,,,,,,,,,,
7,0,1,0,92,0,5320,0,301384,0,17066492,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,0,1,8,236,1696,32675,301384,4638576,49483138,681728204,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0,596,0,175294,0,49483138,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10,0,1,16,1517,18684,1024028,17066492,681728204,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0,3846,0,5668692,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,0,1,32,9770,205832,32463802,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0,24794,0,181971848,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,0,1,64,62953,2267544,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0,159800,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,0,1,128,405688,24980352,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,0,1029864,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,0,1,256,2614457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1,0,6637066,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,0,1,512,16849006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0,42773094,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,0,1,1024,108584525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,1,0,275654292,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
24,0,1,2048,699780452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,0,1,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,0,1,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,0,1,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
32,0,1,32768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
